Date,Open,High,Low,Close,Volume
2019-10-11,925.77,943.77,920.98,943.37,28689
2019-10-14,954.77,956.43,938.77,948.77,27188
2019-10-15,948.77,984.45,945.8,979.77,40035
2019-10-16,936.77,956.27,928.77,938.77,59151
2019-10-17,944.77,955.43,931.27,952.1,30509
2019-10-18,947.77,958.76,940.46,944.56,28292
2019-10-21,940.63,947.67,932.07,937.27,25275
2019-10-22,946.77,950.27,932.66,939.57,19309
2019-10-23,936.77,946.77,924.88,927.68,23080
2019-10-24,933.72,934.77,915.93,919.04,26178
2019-10-25,922.07,941.27,911.8,940.12,25998
2019-10-28,934.78,949.78,933.77,947.06,22486
2019-10-29,949.88,968.73,946.54,961.77,27804
2019-10-30,958.77,961.47,944.77,952.57,21255
2019-10-31,964.77,966.77,944.92,948.78,25909
2019-11-01,949.77,960.72,941.27,953.77,22812
2019-11-04,958.77,978.76,957.77,968.36,26738
2019-11-05,968.27,973.77,960.77,967.77,22255
2019-11-06,965.77,972.77,957.65,961.77,19738
2019-11-07,965.28,970.65,957.77,970.14,16168
2019-11-08,973.77,984.42,970.28,973.77,24512
2019-11-11,970.27,974.97,962.28,967.77,17342
2019-11-12,972.77,978.37,966.98,970.37,19151
2019-11-13,975.77,996.57,968.77,992.77,31977
2019-11-14,995.77,1008.77,990.77,998.77,23521
2019-11-15,998.77,1001.68,990.27,993.67,16341
2019-11-18,993.89,998.22,986.77,996.05,18038
2019-11-19,996.77,1010.38,993.79,1001.09,20624
2019-11-20,998.77,1008.28,996.83,1002.52,15281
2019-11-21,999.77,1004.28,989.83,1000.07,19187
2019-11-22,991.77,997.77,953.77,962.77,47054
2019-11-25,956.82,962.77,940.83,950.83,38282
2019-11-26,955.45,967.37,951.77,953.77,40240
2019-11-27,961.57,965.39,953.28,958.72,19849
2019-11-28,963.74,966.28,937.79,944.57,28845
2019-11-29,934.27,934.27,881.66,897.77,82397
2019-12-02,886.97,908.79,886.97,901.77,30784
2019-12-03,901.77,901.77,886.51,886.77,27341
2019-12-04,908.77,913.43,886.77,891.1,35283
2019-12-05,893.77,900.78,886.77,898.57,21339
2019-12-06,904.74,938.77,898.87,938.77,39506
2019-12-09,943.77,944.77,924.87,927.47,21824
2019-12-10,928.37,933.77,919.77,933.17,15087
2019-12-11,936.77,939.52,924.32,927.75,14568
2019-12-12,924.77,928.71,898.85,905.77,29409
2019-12-13,914.77,933.77,914.77,931.77,30001
2019-12-16,931.77,931.77,906.71,916.69,30936
2019-12-17,918.47,942.37,911.8,938.75,42617
2019-12-18,942.77,943.97,932.77,936.77,19640
2019-12-19,931.77,931.77,920.77,926.17,19552
2019-12-20,930.95,930.95,910.27,915.07,23564
2019-12-23,907.77,931.27,904.77,918.07,25919
2019-12-24,921.77,923.77,913.77,916.77,11823
2019-12-25,911.77,911.77,898.78,902.47,24306
2019-12-26,900.77,910.75,888.76,903.87,22877
2019-12-27,918.77,940.77,918.77,931.77,47066
2019-12-30,938.97,964.27,938.97,954.57,40761
2019-12-31,951.77,956.77,945.28,951.77,22589
2020-01-02,896.77,913.83,884.77,898.77,148099
2020-01-03,885.77,885.77,845.67,847.33,130319
2020-01-06,839.63,861.67,836.07,846.76,63415
2020-01-07,846.27,867.77,845.17,863.3,47854
2020-01-08,853.82,864.27,851.35,856.91,25008
2020-01-09,862.77,874.16,858.77,871.47,37406
2020-01-10,877.77,884.76,871.27,881.27,35976
2020-01-13,881.27,897.97,880.77,893.04,38516
2020-01-14,892.97,893.66,871.77,876.17,35145
2020-01-15,877.78,890.37,873.77,880.9,26029
2020-01-16,887.64,887.64,871.35,875.77,23192
2020-01-17,878.77,881.55,869.78,876.27,23473
2020-01-20,880.63,880.63,850.77,859.77,35391
2020-01-21,849.77,855.77,841.07,844.07,32874
2020-01-22,838.77,852.77,824.15,844.28,36200
2020-01-23,844.77,844.77,805.77,821.57,53468
2020-02-03,753.77,779.45,748.77,772.69,123443
2020-02-04,783.77,825.77,779.78,806.78,62624
2020-02-05,818.77,822.77,801.8,818.76,47418
2020-02-06,828.2,843.77,820.79,839.77,47171
2020-02-07,838.78,845.77,829.79,844.77,31279
2020-02-10,830.77,843.37,825.97,835.26,30533
2020-02-11,831.77,868.45,831.57,866.77,47918
2020-02-12,857.77,867.56,854.65,866.04,28125
2020-02-13,866.77,882.66,856.78,859.77,30357
2020-02-14,859.22,862.28,851.88,856.77,23288
2020-02-17,851.27,864.96,851.17,862.59,27028
2020-02-18,858.78,865.65,851.77,852.77,26665
2020-02-19,853.77,870.27,846.77,865.27,37051
2020-02-20,865.47,892.77,864.18,886.77,46803
2020-02-21,880.23,892.31,878.78,881.65,28940
2020-02-24,874.27,878.77,854.27,855.95,38650
2020-02-25,846.77,850.86,836.65,843.58,38386
2020-02-26,830.77,852.77,823.77,842.47,43561
2020-02-27,844.77,863.76,844.77,856.16,34498
2020-02-28,839.07,850.77,818.74,825.77,49947
2020-03-02,818.88,865.32,818.78,854.78,47663
2020-03-03,866.77,887.65,866.77,881.77,50250
2020-03-04,893.77,907.77,885.01,897.69,53793
2020-03-05,905.08,943.76,899.33,939.77,62426
2020-03-06,931.77,944.77,920.75,924.27,30641
2020-03-09,903.77,903.77,880.08,882.78,43404
2020-03-10,881.77,936.77,881.77,924.77,58063
2020-03-11,924.27,938.35,909.77,927.29,35548
2020-03-12,909.99,921.77,893.87,907.27,36631
2020-03-13,858.77,897.75,848.77,880.8,75885
